ratio	total
0.0	2411
0.002	1
0.003	7
0.004	2
0.005	6
0.006	7
0.007	8
0.008	8
0.009	6
0.01	15
0.011	11
0.012	13
0.013	9
0.014	17
0.015	15
0.016	13
0.017	11
0.018	15
0.019	7
0.02	13
0.021	11
0.022	18
0.023	19
0.024	17
0.025	8
0.026	11
0.027	9
0.028	8
0.029	12
0.03	13
0.031	13
0.032	8
0.033	6
0.034	10
0.035	9
0.036	10
0.037	8
0.038	13
0.039	8
0.04	9
0.041	7
0.042	7
0.043	9
0.044	11
0.045	8
0.046	1
0.047	1
0.048	12
0.049	2
0.05	7
0.051	4
0.052	6
0.053	10
0.054	6
0.055	2
0.056	6
0.057	3
0.058	5
0.059	16
0.061	10
0.062	1
0.063	13
0.064	3
0.065	1
0.067	12
0.068	4
0.069	6
0.07	3
0.071	13
0.072	2
0.073	2
0.074	4
0.075	2
0.076	3
0.077	10
0.078	4
0.079	5
0.081	1
0.082	4
0.083	11
0.084	4
0.085	3
0.086	5
0.087	7
0.088	4
0.089	1
0.09	1
0.091	14
0.093	4
0.095	3
0.098	2
0.1	17
0.101	2
0.104	4
0.105	4
0.106	2
0.107	2
0.108	2
0.109	1
0.11	1
0.111	19
0.115	2
0.118	3
0.119	2
0.12	2
0.121	1
0.122	2
0.125	28
0.127	2
0.128	1
0.129	4
0.13	4
0.131	1
0.133	3
0.134	1
0.135	2
0.136	4
0.137	1
0.138	1
0.139	1
0.14	1
0.142	1
0.143	26
0.148	1
0.15	2
0.151	1
0.152	1
0.154	4
0.157	1
0.161	1
0.163	1
0.164	2
0.167	24
0.168	1
0.17	2
0.171	1
0.174	1
0.175	1
0.176	3
0.179	1
0.181	1
0.182	7
0.183	1
0.184	2
0.185	1
0.188	1
0.189	1
0.19	2
0.192	1
0.194	1
0.2	34
0.206	1
0.208	1
0.212	1
0.213	1
0.214	4
0.217	1
0.218	1
0.219	1
0.222	4
0.227	1
0.228	1
0.231	2
0.233	1
0.235	1
0.238	2
0.241	1
0.25	38
0.261	1
0.263	2
0.269	1
0.27	1
0.273	3
0.28	1
0.281	1
0.286	7
0.3	3
0.308	1
0.322	1
0.333	49
0.343	1
0.364	2
0.368	1
0.375	4
0.389	1
0.4	5
0.402	1
0.412	1
0.417	1
0.429	3
0.444	2
0.459	1
0.483	1
0.5	65
0.533	1
0.538	1
0.571	2
0.6	3
0.615	2
0.625	1
0.667	10
0.679	1
0.714	1
0.75	2
0.805	1
0.833	1
1.0	81
1.1	1
1.125	1
1.2	1
1.222	2
1.333	2
1.4	1
1.5	7
1.667	1
1.75	1
2.0	9
2.5	3
2.6	1
3.0	5
4.0	1
4.25	1
9.0	1
