ratio	total
0.372	1
0.375	9
0.376	1
0.378	1
0.381	2
0.384	1
0.385	5
0.386	1
0.388	2
0.389	5
0.39	1
0.391	1
0.393	1
0.396	2
0.398	1
0.4	32
0.405	1
0.409	2
0.412	2
0.414	1
0.415	1
0.417	4
0.419	1
0.423	2
0.425	2
0.429	21
0.432	1
0.433	1
0.435	2
0.436	1
0.443	1
0.444	10
0.451	1
0.453	1
0.455	3
0.456	1
0.457	1
0.458	1
0.462	2
0.464	2
0.467	2
0.471	2
0.475	1
0.476	1
0.478	2
0.48	1
0.481	1
0.486	1
0.489	1
0.492	1
0.5	142
0.51	1
0.515	1
0.517	1
0.519	1
0.524	1
0.525	1
0.526	3
0.528	1
0.529	3
0.533	3
0.538	2
0.542	1
0.544	1
0.545	2
0.546	1
0.547	1
0.548	2
0.55	1
0.556	2
0.56	3
0.565	1
0.568	1
0.571	7
0.573	1
0.575	1
0.578	1
0.579	1
0.583	5
0.587	1
0.588	1
0.591	1
0.593	1
0.595	1
0.6	17
0.602	1
0.604	1
0.612	1
0.613	1
0.615	2
0.625	6
0.627	1
0.629	1
0.636	1
0.641	1
0.646	1
0.65	1
0.657	1
0.658	1
0.667	56
0.673	1
0.676	1
0.683	1
0.696	1
0.7	1
0.706	2
0.707	1
0.714	7
0.716	1
0.717	1
0.722	1
0.726	1
0.727	1
0.73	1
0.744	1
0.749	1
0.75	22
0.762	1
0.766	1
0.769	1
0.778	1
0.783	2
0.786	1
0.8	12
0.81	1
0.813	2
0.814	1
0.818	1
0.824	2
0.826	3
0.833	8
0.848	1
0.857	3
0.87	1
0.875	3
0.889	1
0.895	1
0.897	1
0.9	2
0.907	1
0.909	1
0.915	1
0.923	2
0.929	1
0.937	1
0.941	1
0.963	1
0.964	1
1.0	121
1.026	1
1.057	1
1.059	1
1.083	1
1.1	1
1.102	1
1.103	1
1.109	1
1.131	1
1.167	2
1.182	1
1.188	1
1.192	1
1.195	1
1.219	1
1.25	3
1.286	1
1.297	1
1.333	11
1.385	1
1.407	1
1.429	1
1.448	1
1.5	18
1.514	1
1.529	1
1.533	1
1.6	1
1.667	9
1.714	1
1.73	1
1.75	3
1.769	1
1.771	1
1.833	1
2.0	46
2.091	1
2.196	1
2.222	1
2.25	1
2.333	2
2.4	1
2.5	4
2.545	1
2.63	1
2.636	1
2.757	1
2.773	1
3.0	13
3.167	1
3.25	1
3.259	1
3.333	1
3.438	1
3.5	1
3.633	1
4.0	4
5.0	7
6.0	2
6.6	1
8.0	2
