ratio	total
0.0	1828
0.004	2
0.005	2
0.006	4
0.008	5
0.009	6
0.01	5
0.011	6
0.012	9
0.013	5
0.014	8
0.015	12
0.016	7
0.017	8
0.018	12
0.019	5
0.02	13
0.021	15
0.022	9
0.023	9
0.024	13
0.025	11
0.026	20
0.027	5
0.028	7
0.029	24
0.03	6
0.031	10
0.032	10
0.033	14
0.034	8
0.035	6
0.036	6
0.037	11
0.038	10
0.039	6
0.04	7
0.041	5
0.042	12
0.043	14
0.044	6
0.045	11
0.046	8
0.047	4
0.048	10
0.049	5
0.05	11
0.051	7
0.052	4
0.053	7
0.054	6
0.055	6
0.056	10
0.057	8
0.058	1
0.059	17
0.06	11
0.061	7
0.062	1
0.063	11
0.064	3
0.065	8
0.066	5
0.067	9
0.068	3
0.069	4
0.07	2
0.071	12
0.072	1
0.073	2
0.074	10
0.076	4
0.077	11
0.078	3
0.079	2
0.08	11
0.081	7
0.082	3
0.083	9
0.084	1
0.085	5
0.086	8
0.087	5
0.088	7
0.089	7
0.09	3
0.091	14
0.092	4
0.093	2
0.094	7
0.095	9
0.096	5
0.097	3
0.098	1
0.1	16
0.101	2
0.103	6
0.104	1
0.105	6
0.106	2
0.107	2
0.108	3
0.109	1
0.11	1
0.111	24
0.112	1
0.113	2
0.114	1
0.115	1
0.116	3
0.118	11
0.119	2
0.12	4
0.121	4
0.123	2
0.124	2
0.125	26
0.126	1
0.127	1
0.129	2
0.133	5
0.134	1
0.135	3
0.136	5
0.137	1
0.138	2
0.139	1
0.14	3
0.141	3
0.142	2
0.143	28
0.144	1
0.146	1
0.147	2
0.148	2
0.149	2
0.15	2
0.152	1
0.153	1
0.154	4
0.155	2
0.156	1
0.157	2
0.158	2
0.159	1
0.16	1
0.162	1
0.163	2
0.167	41
0.169	3
0.17	1
0.171	1
0.172	2
0.175	1
0.176	4
0.177	2
0.178	3
0.179	1
0.182	5
0.184	1
0.185	3
0.188	2
0.19	2
0.191	2
0.192	1
0.193	2
0.194	1
0.195	1
0.196	1
0.197	1
0.198	1
0.2	30
0.201	1
0.204	1
0.205	1
0.207	1
0.208	1
0.211	1
0.212	1
0.214	8
0.216	1
0.217	2
0.218	1
0.219	1
0.222	3
0.223	1
0.231	4
0.235	3
0.236	1
0.24	1
0.242	1
0.245	1
0.247	1
0.25	47
0.252	1
0.254	1
0.255	1
0.258	1
0.259	2
0.26	1
0.263	1
0.265	1
0.267	2
0.268	1
0.272	1
0.273	5
0.274	2
0.278	3
0.283	1
0.286	6
0.294	1
0.295	1
0.298	1
0.3	1
0.303	1
0.304	1
0.306	1
0.308	2
0.313	1
0.315	1
0.325	1
0.33	1
0.333	60
0.338	1
0.344	1
0.351	1
0.357	1
0.364	3
0.368	2
0.372	1
0.375	3
0.387	1
0.391	1
0.4	14
0.405	1
0.406	1
0.414	1
0.427	1
0.429	8
0.444	1
0.457	1
0.459	1
0.462	3
0.467	1
0.47	1
0.471	1
0.5	90
0.512	1
0.513	1
0.519	1
0.526	1
0.533	1
0.569	1
0.588	2
0.594	1
0.6	7
0.611	1
0.621	1
0.625	1
0.636	3
0.643	1
0.659	1
0.667	20
0.747	1
0.75	9
0.778	1
0.8	4
0.829	1
0.833	2
0.857	1
0.889	1
0.917	1
0.948	1
0.95	1
1.0	130
1.067	1
1.143	1
1.146	1
1.167	1
1.202	1
1.304	1
1.333	1
1.367	1
1.4	1
1.44	1
1.5	9
1.59	1
1.733	1
2.0	25
2.2	1
2.3	1
2.4	1
2.857	1
3.0	6
4.0	1
5.0	2
5.082	1
5.75	1
7.25	1
13.0	1
18.5	1
