ratio	total
0.0	2209
0.002	2
0.003	1
0.004	5
0.005	6
0.006	8
0.007	8
0.008	7
0.009	15
0.01	16
0.011	20
0.012	16
0.013	17
0.014	16
0.015	12
0.016	18
0.017	15
0.018	17
0.019	21
0.02	12
0.021	14
0.022	18
0.023	13
0.024	16
0.025	3
0.026	14
0.027	13
0.028	16
0.029	7
0.03	17
0.031	11
0.032	6
0.033	10
0.034	14
0.035	5
0.036	16
0.037	10
0.038	15
0.039	6
0.04	8
0.041	8
0.042	10
0.043	5
0.044	8
0.045	5
0.046	5
0.047	4
0.048	5
0.049	14
0.05	13
0.051	4
0.052	5
0.053	11
0.054	8
0.055	5
0.056	7
0.057	4
0.058	5
0.059	7
0.06	5
0.061	7
0.062	4
0.063	17
0.064	5
0.065	7
0.066	4
0.067	12
0.068	2
0.069	6
0.07	4
0.071	11
0.072	5
0.073	2
0.074	6
0.075	4
0.076	2
0.077	11
0.078	2
0.079	3
0.08	6
0.081	3
0.082	3
0.083	12
0.084	1
0.085	5
0.086	5
0.087	4
0.088	2
0.089	4
0.09	2
0.091	24
0.092	2
0.093	4
0.094	4
0.095	7
0.096	1
0.097	3
0.098	4
0.099	1
0.1	15
0.102	2
0.103	2
0.104	2
0.105	2
0.106	2
0.108	1
0.111	15
0.113	2
0.114	4
0.115	4
0.118	2
0.119	1
0.12	2
0.121	3
0.123	2
0.125	12
0.127	1
0.128	1
0.129	2
0.13	1
0.131	1
0.133	7
0.134	2
0.135	1
0.136	5
0.14	2
0.142	1
0.143	20
0.144	2
0.146	1
0.147	1
0.148	4
0.151	4
0.152	1
0.154	4
0.155	1
0.156	2
0.158	1
0.16	3
0.161	2
0.162	1
0.166	1
0.167	24
0.171	2
0.172	2
0.175	1
0.176	4
0.179	2
0.18	2
0.182	11
0.183	1
0.186	2
0.188	3
0.19	1
0.191	1
0.194	2
0.196	1
0.2	26
0.206	1
0.207	1
0.208	1
0.214	2
0.216	1
0.22	1
0.222	8
0.23	1
0.231	5
0.233	1
0.234	1
0.235	2
0.237	1
0.238	1
0.24	1
0.241	1
0.244	1
0.245	1
0.25	41
0.255	3
0.258	1
0.262	1
0.263	1
0.266	1
0.267	3
0.269	2
0.277	1
0.286	5
0.293	1
0.294	1
0.298	1
0.3	2
0.304	1
0.308	1
0.312	1
0.313	2
0.319	2
0.328	1
0.333	65
0.336	1
0.344	1
0.353	3
0.357	1
0.364	1
0.371	1
0.375	4
0.381	1
0.389	1
0.4	6
0.413	1
0.415	1
0.421	1
0.429	2
0.438	2
0.444	2
0.455	1
0.462	1
0.467	2
0.483	1
0.5	64
0.507	1
0.523	1
0.529	2
0.538	1
0.556	2
0.567	1
0.569	1
0.571	3
0.6	4
0.667	9
0.7	1
0.704	1
0.714	2
0.727	2
0.75	4
0.771	1
0.8	3
0.828	1
0.833	2
0.9	1
1.0	76
1.111	1
1.143	1
1.167	1
1.333	2
1.5	2
1.818	1
1.952	1
2.0	25
2.333	1
2.444	1
2.5	2
2.675	1
3.0	3
3.455	1
4.0	2
4.5	1
