ratio	total
0.0	96
0.017	1
0.019	1
0.021	2
0.022	1
0.025	1
0.026	1
0.031	1
0.033	1
0.037	1
0.038	2
0.042	2
0.043	1
0.045	1
0.047	1
0.048	1
0.054	1
0.055	1
0.056	3
0.057	1
0.058	1
0.059	1
0.062	1
0.063	1
0.064	1
0.065	4
0.066	1
0.067	5
0.07	1
0.071	1
0.074	1
0.076	1
0.077	1
0.079	1
0.081	1
0.083	2
0.085	1
0.086	1
0.087	1
0.088	1
0.089	1
0.091	2
0.1	1
0.103	1
0.105	1
0.111	5
0.113	1
0.115	1
0.116	1
0.121	1
0.125	2
0.131	1
0.133	1
0.136	2
0.14	1
0.143	7
0.145	1
0.151	1
0.164	1
0.167	3
0.176	1
0.179	1
0.182	3
0.194	1
0.2	10
0.222	2
0.223	1
0.231	1
0.246	1
0.25	16
0.263	1
0.267	1
0.273	1
0.286	2
0.304	1
0.31	1
0.323	1
0.333	15
0.353	1
0.357	1
0.364	1
0.365	1
0.375	3
0.4	3
0.404	1
0.429	2
0.45	1
0.452	1
0.455	1
0.5	17
0.526	1
0.545	1
0.571	1
0.6	2
0.625	1
0.636	1
0.643	1
0.667	11
0.75	3
0.8	1
0.833	1
0.875	1
0.889	1
1.0	24
1.1	1
1.111	1
1.25	1
1.284	1
1.333	2
1.4	1
1.5	1
1.588	1
1.6	1
1.714	1
1.875	1
1.923	1
2.0	14
2.25	1
2.5	2
2.667	1
3.0	3
3.5	2
4.0	1
4.625	1
5.0	4
5.5	1
6.0	2
8.0	1
12.0	1
