ratio	total
0.184	4
0.185	1
0.186	4
0.187	1
0.188	13
0.189	1
0.19	5
0.191	3
0.192	1
0.193	2
0.194	3
0.196	2
0.198	1
0.199	1
0.2	88
0.201	4
0.204	2
0.206	2
0.207	1
0.208	3
0.209	1
0.211	4
0.212	2
0.213	4
0.214	15
0.215	1
0.216	1
0.217	2
0.218	4
0.219	2
0.22	1
0.221	1
0.222	15
0.223	1
0.226	2
0.227	1
0.229	4
0.23	1
0.231	9
0.233	4
0.234	1
0.235	8
0.237	1
0.238	1
0.24	1
0.241	1
0.243	1
0.245	1
0.246	1
0.247	1
0.25	75
0.253	1
0.254	1
0.255	1
0.257	2
0.259	1
0.261	5
0.262	2
0.263	5
0.267	4
0.268	1
0.269	3
0.271	1
0.272	2
0.273	12
0.274	1
0.276	1
0.277	1
0.278	5
0.283	1
0.285	2
0.286	14
0.287	1
0.292	3
0.294	3
0.297	2
0.298	1
0.299	1
0.3	4
0.301	1
0.302	1
0.303	1
0.304	2
0.305	2
0.306	1
0.307	1
0.308	5
0.309	1
0.31	2
0.311	1
0.312	1
0.313	3
0.314	1
0.316	1
0.318	3
0.319	1
0.32	1
0.321	2
0.322	1
0.323	2
0.324	1
0.325	1
0.329	1
0.33	1
0.333	97
0.336	1
0.34	1
0.341	1
0.343	1
0.344	1
0.346	2
0.347	1
0.348	2
0.35	2
0.351	1
0.352	2
0.353	4
0.354	1
0.357	4
0.358	1
0.36	4
0.364	6
0.365	1
0.366	1
0.367	1
0.374	1
0.375	7
0.377	2
0.378	1
0.383	1
0.385	4
0.39	1
0.391	1
0.393	1
0.394	1
0.4	25
0.407	2
0.414	3
0.415	1
0.417	2
0.418	2
0.419	2
0.421	1
0.422	1
0.423	1
0.429	14
0.43	1
0.433	1
0.435	1
0.438	3
0.443	1
0.444	10
0.451	1
0.455	1
0.457	1
0.46	1
0.462	1
0.463	1
0.467	3
0.468	1
0.471	1
0.474	2
0.478	2
0.484	2
0.487	1
0.492	1
0.493	1
0.5	133
0.506	1
0.508	1
0.511	1
0.512	1
0.515	1
0.516	1
0.518	1
0.519	1
0.52	1
0.522	1
0.525	1
0.527	1
0.533	1
0.536	1
0.537	1
0.538	4
0.54	1
0.544	1
0.545	1
0.548	2
0.55	1
0.552	1
0.556	4
0.557	1
0.561	1
0.567	1
0.569	1
0.571	6
0.577	1
0.58	1
0.583	1
0.589	1
0.591	1
0.6	12
0.606	1
0.611	1
0.615	1
0.625	4
0.632	1
0.642	2
0.643	1
0.646	1
0.647	1
0.65	1
0.652	2
0.659	1
0.662	1
0.667	40
0.67	1
0.682	1
0.683	1
0.685	1
0.69	1
0.691	1
0.692	2
0.7	2
0.714	2
0.725	1
0.748	1
0.75	16
0.753	1
0.754	1
0.765	2
0.778	4
0.798	1
0.8	10
0.802	1
0.814	1
0.818	1
0.833	4
0.846	1
0.857	1
0.875	5
0.893	1
0.9	2
0.917	1
0.961	1
0.99	1
1.0	148
1.033	1
1.071	1
1.075	1
1.105	1
1.111	2
1.125	1
1.133	3
1.136	1
1.154	1
1.156	1
1.186	1
1.194	1
1.2	3
1.217	1
1.222	1
1.235	1
1.24	1
1.25	3
1.279	1
1.284	1
1.294	1
1.314	1
1.333	4
1.375	1
1.394	1
1.4	1
1.483	1
1.5	16
1.556	2
1.559	1
1.574	1
1.667	3
1.684	1
1.694	1
1.875	1
1.889	1
1.898	1
2.0	37
2.014	1
2.094	1
2.129	1
2.152	1
2.167	1
2.333	3
2.5	5
2.696	1
2.726	1
3.0	14
3.111	1
3.333	1
4.0	2
4.077	1
4.218	1
5.0	1
5.25	1
6.0	2
6.118	1
6.533	1
7.0	1
39.0	1
