ratio	total
0.0	1288
0.005	1
0.006	2
0.007	1
0.008	2
0.009	3
0.01	7
0.011	12
0.012	12
0.013	14
0.014	16
0.015	13
0.016	9
0.017	20
0.018	15
0.019	17
0.02	13
0.021	14
0.022	20
0.023	13
0.024	15
0.025	11
0.026	21
0.027	11
0.028	18
0.029	16
0.03	14
0.031	20
0.032	12
0.033	14
0.034	18
0.035	11
0.036	12
0.037	12
0.038	19
0.039	12
0.04	18
0.041	8
0.042	15
0.043	26
0.044	7
0.045	22
0.046	9
0.047	10
0.048	13
0.049	9
0.05	19
0.051	6
0.052	5
0.053	14
0.054	11
0.055	6
0.056	14
0.057	3
0.058	9
0.059	21
0.06	5
0.061	6
0.062	7
0.063	20
0.064	7
0.065	13
0.066	3
0.067	15
0.068	2
0.069	10
0.07	7
0.071	30
0.072	12
0.073	8
0.074	9
0.075	11
0.076	3
0.077	19
0.078	9
0.079	7
0.08	12
0.081	9
0.082	7
0.083	28
0.084	8
0.085	7
0.086	5
0.087	7
0.088	11
0.089	9
0.09	5
0.091	31
0.092	4
0.093	9
0.094	3
0.095	8
0.096	5
0.097	12
0.098	4
0.099	10
0.1	31
0.101	11
0.102	3
0.103	9
0.104	5
0.105	15
0.106	4
0.107	6
0.108	5
0.109	4
0.11	3
0.111	30
0.112	1
0.113	9
0.114	5
0.115	7
0.116	9
0.117	2
0.118	13
0.119	1
0.12	7
0.121	3
0.122	2
0.123	7
0.124	5
0.125	36
0.126	2
0.127	6
0.128	2
0.129	3
0.13	10
0.131	1
0.132	1
0.133	14
0.134	3
0.135	3
0.136	4
0.137	3
0.138	4
0.139	1
0.14	1
0.142	1
0.143	55
0.144	1
0.145	3
0.146	5
0.147	3
0.148	7
0.149	2
0.15	7
0.152	1
0.153	2
0.154	6
0.155	2
0.156	3
0.157	5
0.158	9
0.159	1
0.16	4
0.161	3
0.162	3
0.163	1
0.164	2
0.165	3
0.166	1
0.167	56
0.168	2
0.169	2
0.17	2
0.171	2
0.172	4
0.173	1
0.174	4
0.175	2
0.176	8
0.177	2
0.178	5
0.179	2
0.181	1
0.182	11
0.183	1
