ratio	total
0.0	1923
0.002	1
0.003	2
0.004	6
0.005	10
0.006	7
0.007	12
0.008	16
0.009	16
0.01	13
0.011	6
0.012	16
0.013	12
0.014	13
0.015	13
0.016	11
0.017	16
0.018	18
0.019	13
0.02	12
0.021	14
0.022	7
0.023	19
0.024	10
0.025	13
0.026	9
0.027	7
0.028	10
0.029	10
0.03	17
0.031	8
0.032	12
0.033	9
0.034	9
0.035	10
0.036	5
0.037	6
0.038	8
0.039	8
0.04	9
0.041	10
0.042	15
0.043	10
0.044	6
0.045	12
0.046	5
0.047	3
0.048	3
0.049	3
0.05	5
0.051	5
0.052	7
0.053	15
0.054	9
0.055	4
0.056	8
0.057	5
0.058	3
0.059	11
0.06	4
0.061	5
0.062	3
0.063	13
0.064	3
0.065	7
0.066	4
0.067	6
0.068	3
0.069	7
0.07	4
0.071	12
0.072	3
0.073	5
0.074	7
0.075	3
0.076	3
0.077	8
0.078	4
0.079	3
0.08	6
0.081	4
0.082	3
0.083	6
0.084	2
0.085	4
0.086	4
0.087	5
0.088	1
0.089	7
0.09	3
0.091	16
0.092	1
0.094	3
0.095	3
0.096	1
0.097	1
0.098	3
0.099	1
0.1	11
0.101	3
0.103	2
0.104	1
0.105	1
0.106	6
0.107	3
0.108	1
0.11	2
0.111	12
0.113	1
0.115	1
0.116	3
0.117	1
0.118	4
0.119	1
0.12	1
0.121	1
0.122	1
0.123	2
0.125	22
0.128	1
0.129	1
0.13	2
0.131	1
0.132	1
0.133	3
0.135	4
0.136	6
0.137	1
0.138	2
0.139	2
0.141	1
0.143	18
0.146	2
0.147	1
0.148	2
0.149	2
0.15	2
0.154	7
0.156	1
0.158	2
0.159	1
0.16	1
0.161	2
0.162	1
0.163	4
0.164	1
0.165	1
0.167	16
0.169	1
0.17	2
0.171	1
0.176	3
0.179	3
0.18	2
0.182	5
0.183	1
0.184	2
0.186	2
0.187	1
0.188	2
0.189	1
0.19	6
0.192	1
0.193	1
0.194	1
0.195	1
0.199	1
0.2	22
0.203	1
0.204	1
0.207	2
0.208	3
0.209	1
0.21	1
0.212	1
0.213	3
0.214	2
0.216	1
0.217	1
0.222	8
0.226	1
0.227	1
0.229	1
0.231	2
0.238	2
0.239	1
0.242	1
0.247	1
0.25	36
0.252	1
0.253	1
0.254	1
0.258	1
0.266	1
0.27	1
0.273	1
0.277	1
0.278	1
0.286	9
0.289	1
0.294	2
0.295	1
0.3	3
0.305	2
0.308	1
0.31	1
0.316	1
0.318	1
0.333	47
0.336	1
0.342	1
0.349	1
0.358	1
0.364	1
0.37	2
0.375	3
0.396	1
0.398	1
0.4	8
0.421	1
0.429	5
0.438	1
0.444	1
0.478	1
0.5	81
0.514	1
0.536	1
0.538	1
0.545	1
0.547	1
0.556	1
0.571	2
0.583	1
0.594	1
0.6	2
0.617	1
0.667	15
0.678	1
0.692	1
0.708	1
0.714	1
0.75	4
0.769	1
0.783	1
0.8	2
0.833	1
0.857	1
0.889	1
0.896	1
0.917	1
0.981	1
1.0	104
1.067	1
1.077	1
1.111	1
1.125	1
1.167	1
1.222	1
1.268	1
1.5	2
1.667	1
1.8	1
2.0	17
2.333	1
2.405	1
2.5	1
2.727	1
3.0	5
3.583	1
4.0	2
4.25	1
4.6	1
5.0	1
7.0	1
